Date,AAPL,AMZN,GOOGL,META,MSFT
2015-01-02,24.37396240234375,15.425999641418457,26.412099838256836,78.2145004272461,40.23286056518555
2015-01-05,23.687307357788086,15.10949993133545,25.908843994140625,76.95829010009766,39.86287307739258
2015-01-06,23.68953514099121,14.76449966430664,25.26943016052246,75.9214096069336,39.277801513671875
2015-01-07,24.02171516418457,14.920999526977539,25.195114135742188,75.9214096069336,39.77684020996094
2015-01-08,24.94468116760254,15.02299976348877,25.282896041870117,77.9453125,40.946998596191406
2015-01-09,24.971435546875,14.846500396728516,24.974159240722656,77.50664520263672,40.60283279418945
2015-01-12,24.356115341186523,14.570500373840332,24.79161262512207,76.48970031738281,40.09518814086914
2015-01-13,24.572370529174805,14.737000465393066,25.028026580810547,76.22051239013672,39.88868713378906
2015-01-14,24.478744506835938,14.66349983215332,25.2340145111084,76.05101776123047,39.54452896118164
2015-01-15,23.81437873840332,14.34749984741211,25.138254165649414,73.82772064208984,39.13151550292969
2015-01-16,23.629344940185547,14.536999702453613,25.459957122802734,74.9543228149414,39.785438537597656
2015-01-20,24.237964630126953,14.472000122070312,25.43402099609375,76.01113891601562,39.91450881958008
2015-01-21,24.423002243041992,14.862500190734863,25.955230712890625,76.50962829589844,39.510101318359375
2015-01-22,25.058385848999023,15.515999794006348,26.798643112182617,77.41690826416016,40.55120849609375
2015-01-23,25.187694549560547,15.619500160217285,27.030567169189453,77.59636688232422,40.59422302246094
2015-01-26,25.21444320678711,15.482999801635742,26.76971435546875,77.26736450195312,40.44797134399414
2015-01-27,24.331600189208984,15.337499618530273,25.99513053894043,75.55252075195312,36.70516586303711
2015-01-28,25.70713233947754,15.195500373840332,25.55821418762207,76.01113891601562,35.44036102294922
2015-01-29,26.507484436035156,15.58899974822998,25.598115921020508,77.76585388183594,36.14589309692383
2015-01-30,26.119569778442383,17.726499557495117,26.811111450195312,75.68212890625,34.76063919067383
2015-02-02,26.447296142578125,18.223499298095703,26.544273376464844,74.76488494873047,35.51780700683594
2015-02-03,26.451745986938477,18.177499771118164,26.599138259887695,75.17366027832031,35.793128967285156
2015-02-04,26.654626846313477,18.237499237060547,26.240026473999023,75.40296173095703,35.99962615966797
2015-02-05,26.84488296508789,18.694499969482422,26.42606544494629,75.3830337524414,36.52449035644531
2015-02-06,26.618816375732422,18.714000701904297,26.62806510925293,74.24645233154297,36.49006652832031
2015-02-09,26.795637130737305,18.527999877929688,26.398632049560547,74.216552734375,36.4470329284668
2015-02-10,27.310415267944336,18.649999618530273,26.941287994384766,74.96428680419922,36.65354537963867
2015-02-11,27.95054054260254,18.756999969482422,26.833555221557617,76.28032684326172,36.4642448425293
2015-02-12,28.304174423217773,18.85849952697754,27.23306655883789,76.00116729736328,37.075138092041016
2015-02-13,28.442941665649414,19.09149932861328,27.489931106567383,75.51263427734375,37.74626922607422
2015-02-17,28.610803604125977,18.771499633789062,27.183189392089844,75.37306213378906,37.76359558105469
2015-02-18,28.810007095336914,18.668500900268555,27.065481185913086,76.47972106933594,37.72026443481445
2015-02-19,28.74957847595215,18.950000762939453,27.25501251220703,79.18159484863281,37.69427490234375
2015-02-20,28.98459243774414,19.183000564575195,27.023086547851562,79.66015625,38.006229400634766
